feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
f__Barnesiellaceae	Sample_type	TWL	-3.31381472673179	0.332098152450207	36	32	1.96438095309333e-11	3.37873523932052e-09
Aeromonas	Sample_type	TWL	3.02768373818876	0.427927091975217	36	26	4.92932321799425e-08	4.23921796747505e-06
Macellibacteroides	Sample_type	TWL	-2.09614164305306	0.349989764799718	36	30	1.13232718747036e-06	6.4920092081634e-05
Epulopiscium	Sample_type	TWL	1.17519292413995	0.246320588711163	36	36	3.95583877254467e-05	0.00113400711479614
f__Clostridiaceae.1	Sample_type	TFP	1.88561501705366	0.301149790598977	36	36	2.7516285638378e-05	0.00113400711479614
Plesiomonas	Sample_type	TWL	1.39932598821615	0.293143569612131	36	34	3.90667946833306e-05	0.00113400711479614
Sporichthya	Sample_type	TWL	1.72515908020411	0.37413670376009	36	24	5.78256416807852e-05	0.00142085862415644
Nocardioides	Sample_type	TWL	1.33088819045214	0.293642764581404	36	26	8.07290330569054e-05	0.00173567421072347
Bacillus	Sample_type	TFP	1.79602382901118	0.31456629253325	36	36	0.000107266303131156	0.00184498041385589
Bacillus	Sample_type	TWL	1.25288226472692	0.281250940563018	36	36	0.000102455764391729	0.00184498041385589
Clostridium.sensu.stricto.5	Sample_type	TWL	1.34143905190264	0.313049447611224	36	35	0.00016899038260858	0.00264239507351598
f__Ilumatobacteraceae	Sample_type	TWL	1.56707319025137	0.377256360614234	36	24	0.000217385214278087	0.00311585473798592
o__Clostridiales	Sample_type	TFP	2.1217665807836	0.411410023945107	36	26	0.000296738134220985	0.00392607377584688
f__Xanthobacteraceae	Sample_type	TWL	1.70506693409074	0.431277517723883	36	32	0.000412725314787442	0.004436797133965
Fodinicola	Sample_type	TWL	1.64057402072601	0.41113864071255	36	30	0.000392715272137628	0.004436797133965
Nocardioides	Sample_type	TFP	1.64895888608985	0.332916115004363	36	26	0.000391378634387555	0.004436797133965
Cetobacterium	Sample_type	TWL	-0.719450237788057	0.182778445835979	36	36	0.000485403326306564	0.00491113953674876
Clostridium.sensu.stricto.3	Sample_type	TWL	1.15962853116341	0.299903377161065	36	34	0.000538317250444315	0.00514392039313456
Iamia	Sample_type	TWL	1.4913319751626	0.383769860223096	36	27	0.000582310193750919	0.00527143964869253
f__Propionibacteriaceae	Sample_type	TWL	1.30230773371011	0.35785939932595	36	30	0.00100779712140633	0.00866705524409444
f__Burkholderiaceae	Sample_type	TWL	1.71907808724919	0.477670067386976	36	32	0.00108577012668456	0.00889297437094023
Candidatus.Competibacter	Sample_type	TWL	1.71175056334532	0.492780730407432	36	29	0.00147378855378595	0.0110213752717906
Cellulosilyticum	Sample_type	TFP	1.67762871854376	0.397978708795992	36	26	0.00141995181598142	0.0110213752717906
f__Lachnospiraceae	Sample_type	TFP	1.30794229530394	0.315318778105634	36	26	0.00165279502136762	0.0118450309864679
Clostridium.sensu.stricto.11	Sample_type	TWL	0.913022834857653	0.268513920958883	36	31	0.00179348270947692	0.0123391610412012
Clostridium.sensu.stricto.1	Sample_type	TFP	0.967568103054182	0.255615893394792	36	36	0.00205420366683962	0.0133815872650831
f__Barnesiellaceae	Sample_type	TFP	-1.55465048040471	0.403730421995851	36	32	0.00248959763071314	0.0133815872650831
f__JG30.KF.CM45	Sample_type	TWL	1.23988183391407	0.371990616038548	36	33	0.00213572409734045	0.0133815872650831
Methylocystis	Sample_type	TWL	1.4399955989764	0.435803970805194	36	34	0.00230778625619769	0.0133815872650831
Methyloparacoccus	Sample_type	TFP	1.95761366335017	0.501871331082974	36	31	0.00238872942562843	0.0133815872650831
o__Rhizobiales	Sample_type	TWL	1.38029590459584	0.420072653695862	36	26	0.00245660188645671	0.0133815872650831
Tyzzerella.3	Sample_type	TWL	1.23201435213279	0.372208001186076	36	25	0.00229508778204818	0.0133815872650831
o__HOC36	Sample_type	TWL	1.61950089060619	0.4900426985934	36	26	0.00263858116537209	0.0135308757375365
o__Planctomycetales	Sample_type	TWL	1.37574246199402	0.423122759500369	36	28	0.0026747079946293	0.0135308757375365
Paraclostridium	Sample_type	TWL	0.865295579001958	0.267008454460826	36	34	0.00286866313934143	0.0140974302847636
f__Microtrichaceae	Sample_type	TWL	1.28258180105585	0.402291965514159	36	26	0.00318811569090779	0.0152321083010039
f__Clostridiaceae.1	Sample_type	TWL	0.813456528515295	0.258947644137699	36	36	0.00360453738764478	0.0164024454389815
Hyphomicrobium	Sample_type	TWL	1.36005936913989	0.432556801361735	36	26	0.0036897626015015	0.0164024454389815
Methylocaldum	Sample_type	TWL	1.48390588287343	0.47447490562298	36	29	0.00371915914023418	0.0164024454389815
f__Peptostreptococcaceae	Sample_type	TWL	0.907878894767389	0.293802574108118	36	36	0.00408841351153323	0.0175801780995929
f__Gemmataceae	Sample_type	TWL	1.23795093746262	0.411129748961819	36	33	0.00496344919655584	0.0203265062335144
o__OPB41	Sample_type	TFP	2.0862645012909	0.592573497381178	36	31	0.0048680271998013	0.0203265062335144
f__Ruminococcaceae	Sample_type	TFP	1.25679427344712	0.382889867072702	36	27	0.00605094923605054	0.023305157945043
Methyloparacoccus	Sample_type	TWL	1.27799634276569	0.434767306003441	36	31	0.00609727969492403	0.023305157945043
o__Microtrichales	Sample_type	TWL	1.11116897553058	0.376087915615585	36	31	0.00585343669966004	0.023305157945043
Clostridium.sensu.stricto.13	Sample_type	TWL	0.881802869752215	0.307230896992375	36	35	0.00713249019347661	0.0261018790059144
f__SC.I.84	Sample_type	TWL	1.43040302623703	0.489156854485489	36	28	0.00704575297694684	0.0261018790059144
c__KD4.96	Sample_type	TWL	1.2586833867476	0.442552854704196	36	31	0.00775368179568305	0.0277840264345309
f__Caldilineaceae	Sample_type	TWL	1.27221433880041	0.45715940485617	36	32	0.00900261193224528	0.0316010051499222
Conexibacter	Sample_type	TWL	1.32993173214728	0.488630924998377	36	31	0.0103239073363688	0.0354156987739875
o__PeM15	Sample_type	TWL	1.0403650537118	0.383202474019899	36	35	0.0105011664969381	0.0354156987739875
o__SJA.15	Sample_type	TWL	1.38279051329861	0.513524643951467	36	30	0.011233122045812	0.0371557113823013
Romboutsia	Sample_type	TWL	0.584648632877992	0.218639130443283	36	36	0.0115643713839238	0.03752965807613
f__Anaerolineaceae	Sample_type	TWL	1.23625169973007	0.463788120283965	36	26	0.0118891423167225	0.0378691199717828
o__Gaiellales	Sample_type	TWL	1.18333052755378	0.445978799415471	36	32	0.0123215828330727	0.0385329499507001
Pirellula	Sample_type	TWL	1.15918625590133	0.437508344732387	36	28	0.0125779050641299	0.0386321369826848
Clostridium.sensu.stricto.6	Sample_type	TWL	0.783365001729643	0.301017820395551	36	30	0.0137589001306938	0.0415180846049007
o__IMCC26256	Sample_type	TWL	1.1387981252381	0.448251075843207	36	32	0.0160627909626323	0.0476344835443578
f__67.14	Sample_type	TWL	0.95580889690418	0.378539872585113	36	28	0.0165673755824306	0.0482304485079112
f__Ruminococcaceae	Sample_type	TWL	0.862726129882569	0.341547920138059	36	27	0.0168245750608992	0.0482304485079112
